1	3728	15532	11	24	24
2	5449	18188	55	-1	66
3	42594	2353	198	39	39
4	40628	6548	236	19	19
5	5414	18399	271	-1	66
6	6830	14935	23	2	2
7	40739	6463	176	19	19
8	16722	19331	199	-1	80
9	979	19640	205	33	33
10	41300	14414	21	14	14
11	6354	2385	123	-1	81
12	41630	5526	257	-1	64
13	28252	25994	302	50	50
14	30018	21287	77	32	32
15	31961	30475	91	18	18
16	29705	2953	203	23	23
17	31342	28030	197	-1	65
18	22693	2596	234	-1	58
19	9640	6900	149	12	12
20	42939	14273	215	-1	60
21	39560	32682	55	-1	76
22	29979	1115	173	-1	89
23	6360	2569	233	-1	81
24	41390	14576	302	14	14
25	31366	27854	185	-1	65
26	3758	15493	10	24	24
27	5649	18411	228	-1	66
28	19827	31461	177	41	41
29	21995	1226	148	-1	93
30	16488	19182	68	-1	80
31	33848	15319	232	-1	97
32	25830	22894	222	47	47
33	26101	19790	288	8	8
34	6979	14953	58	2	2
35	7012	26004	320	3	3
36	41535	20495	208	15	15
37	41592	14542	207	14	14
38	3997	14735	114	-1	79
39	7157	25985	276	3	3
40	23333	24874	100	-1	83
41	28348	25759	75	50	50
42	39495	2043	2	42	42
43	32875	26133	325	38	38
44	34743	17444	335	28	28
45	29956	21402	358	32	32
46	41755	31165	272	-1	85
47	23277	24912	62	-1	83
48	41903	31127	197	-1	85
49	30306	14038	203	5	5
50	41754	5450	161	-1	64
51	7221	25764	141	3	3
52	21125	26734	193	-1	74
53	22770	2536	188	-1	58
54	30141	13993	263	5	5
55	9239	21339	96	-1	88
56	16041	3132	50	-1	77
57	25644	22695	26	47	47
58	729	3202	227	9	9
59	34987	1562	197	29	29
60	23447	1540	146	10	10
61	41780	30875	68	-1	85
62	14363	21736	166	-1	56
63	3943	14834	71	-1	79
64	42315	2153	64	39	39
65	28796	9930	244	36	36
66	7198	25906	229	3	3
67	37865	30053	279	-1	52
68	601	3229	294	9	9
69	3955	14882	158	-1	79
70	7628	27255	220	-1	94
71	15145	15858	187	4	4
72	26181	19814	230	8	8
73	21006	26619	120	-1	74
74	44157	29384	98	49	49
75	7547	5064	329	-1	53
76	44395	1948	62	35	35
77	40089	24349	134	-1	96
78	20997	26746	240	-1	74
79	38345	2940	77	-1	87
80	16569	10178	337	21	21
81	16054	3195	351	-1	77
82	38433	3744	158	46	46
83	42524	23162	323	7	7
84	42384	2144	52	39	39
85	41409	14501	331	14	14
86	38689	8879	42	25	25
87	13141	25277	145	-1	54
88	9215	12689	67	-1	75
89	16667	19480	276	-1	80
90	30092	21419	209	32	32
91	20932	26738	316	-1	74
92	35789	12650	277	-1	86
93	18024	4169	294	6	6
94	42906	14080	102	-1	60
95	20843	26610	39	-1	74
96	41463	14615	270	14	14
97	41509	5321	52	-1	64
98	41560	4846	249	-1	51
99	14917	15714	61	4	4
100	21057	26252	140	-1	99
101	29700	2790	135	23	23
102	7101	14995	130	2	2
103	28567	9765	24	36	36
104	43933	23281	217	37	37
105	42439	22872	40	7	7
106	41671	20135	72	44	44
107	44079	10236	56	-1	71
108	32847	25939	19	38	38
109	41441	20411	153	15	15
110	19565	31472	323	41	41
111	32942	25843	105	38	38
112	32792	25878	51	38	38
113	42858	14326	272	-1	60
114	16794	6092	125	-1	70
115	34803	1369	62	29	29
116	20924	26273	86	-1	99
117	36395	9068	286	-1	62
118	41439	20362	147	15	15
119	41310	14415	35	14	14
120	11284	23558	193	-1	68
121	7575	4843	72	-1	53
122	38400	3669	125	46	46
123	40103	24828	36	-1	100
124	30034	21306	89	32	32
125	25827	22855	241	47	47
126	38722	22949	178	13	13
127	35162	20578	147	-1	73
128	31856	30657	324	18	18
129	31828	30736	316	18	18
130	34660	31828	317	17	17
131	30148	11810	38	-1	78
132	33772	15331	279	-1	97
133	19799	31444	154	41	41
134	42707	23073	189	7	7
135	3853	15018	327	-1	79
136	829	19392	74	33	33
137	41617	20310	327	44	44
138	38383	3657	154	46	46
139	41559	5485	313	-1	64
140	18388	25593	302	34	34
141	40488	6689	330	19	19
142	42567	23083	312	7	7
143	44436	2182	312	35	35
144	4543	31372	27	48	48
145	41383	4675	22	-1	51
146	18505	25420	116	34	34
147	30362	33072	160	26	26
148	15023	32281	93	-1	61
149	21069	26276	134	-1	99
150	42376	2325	323	39	39
151	34836	31885	245	17	17
152	25819	22674	158	47	47
153	16943	32995	78	-1	95
154	15158	32277	194	-1	61
155	30445	11995	248	-1	78
156	7148	25936	224	3	3
157	30017	13947	353	5	5
158	14254	21993	266	-1	56
